                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.90612,                0.51477,                 0.9994,                0.82116,                0.86364,                 0.8802,                0.52381,                 1.5635,                0.67327,                 1.4878,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.8771,                0.48606,                 1.0044,                0.86078,                0.86364,                0.91717,                0.53768,                 1.5695,                0.66616,                 1.4821,              0.0008318,              0.0008318,              0.0008318
                     61,                0.85059,                0.47472,                0.98179,                0.86218,                0.85321,                0.89648,                0.52995,                 1.5785,                 0.6874,                 1.5219,               0.000812,               0.000812,               0.000812
                     62,                0.84794,                0.47512,                0.99581,                0.84669,                0.88636,                0.89307,                0.51673,                 1.5815,                0.72242,                  1.489,              0.0007922,              0.0007922,              0.0007922
                     63,                0.85944,                0.47778,                0.97792,                0.83094,                0.90909,                0.89749,                0.52872,                 1.5788,                0.67865,                 1.5797,              0.0007724,              0.0007724,              0.0007724
                     64,                0.86384,                 0.4776,                0.98542,                0.83973,                0.88636,                0.87557,                0.51449,                 1.6046,                0.66081,                 1.6065,              0.0007526,              0.0007526,              0.0007526
                     65,                0.84794,                0.46411,                  1.011,                0.76843,                0.93182,                0.89245,                0.51884,                 1.5897,                0.65612,                 1.5366,              0.0007328,              0.0007328,              0.0007328
                     66,                0.79533,                0.44661,                0.99089,                0.82191,                0.83913,                0.87818,                0.51546,                 1.6018,                0.64049,                 1.5276,               0.000713,               0.000713,               0.000713
                     67,                 0.8108,                0.46676,                0.98323,                0.85979,                0.83632,                0.88721,                0.52748,                 1.6067,                0.64356,                 1.5328,              0.0006932,              0.0006932,              0.0006932
                     68,                0.81838,                0.46689,                0.98677,                0.79792,                0.90909,                0.86578,                0.52284,                 1.5522,                 0.6526,                 1.5288,              0.0006734,              0.0006734,              0.0006734
                     69,                0.83488,                0.48434,                 1.0047,                0.82608,                0.88636,                0.89627,                0.53221,                 1.5674,                0.68154,                 1.5709,              0.0006536,              0.0006536,              0.0006536
                     70,                0.81017,                0.46285,                0.98564,                0.84612,                0.86364,                0.86807,                0.50965,                 1.6153,                0.68884,                 1.5223,              0.0006338,              0.0006338,              0.0006338
